country,continent,income_level,counterpart_area
Afghanistan,Asia,Low income,Australia
Afghanistan,Asia,Low income,Austria
Afghanistan,Asia,Low income,Canada
Afghanistan,Asia,Low income,Czechia
Afghanistan,Asia,Low income,Denmark
Afghanistan,Asia,Low income,EU Institutions
Afghanistan,Asia,Low income,Finland
Afghanistan,Asia,Low income,France
Afghanistan,Asia,Low income,Germany
Afghanistan,Asia,Low income,Greece
Afghanistan,Asia,Low income,Ireland
Afghanistan,Asia,Low income,Italy
Afghanistan,Asia,Low income,Japan
Afghanistan,Asia,Low income,Luxembourg
Afghanistan,Asia,Low income,Netherlands
Afghanistan,Asia,Low income,New Zealand
Afghanistan,Asia,Low income,Norway
Afghanistan,Asia,Low income,Poland
Afghanistan,Asia,Low income,Sweden
Afghanistan,Asia,Low income,Switzerland
Afghanistan,Asia,Low income,Türkiye
Afghanistan,Asia,Low income,UN Development Programme
Afghanistan,Asia,Low income,UN High Commissioner for Refugees
Afghanistan,Asia,Low income,UN Population Fund
Afghanistan,Asia,Low income,UN World Food Programme
Afghanistan,Asia,Low income,UNICEF
Afghanistan,Asia,Low income,United Arab Emirates
Afghanistan,Asia,Low income,United Kingdom
Afghanistan,Asia,Low income,United States
Albania,Europe,Upper middle income,Austria
Albania,Europe,Upper middle income,Belgium
Albania,Europe,Upper middle income,Canada
Albania,Europe,Upper middle income,Denmark
Albania,Europe,Upper middle income,EU Institutions
Albania,Europe,Upper middle income,Estonia
Albania,Europe,Upper middle income,European Bank for Reconstruction and Development
Albania,Europe,Upper middle income,European Investment Bank
Albania,Europe,Upper middle income,Finland
Albania,Europe,Upper middle income,France
Albania,Europe,Upper middle income,Germany
Albania,Europe,Upper middle income,Greece
Albania,Europe,Upper middle income,International Fund for Agricultural Development
Albania,Europe,Upper middle income,Ireland
Albania,Europe,Upper middle income,Islamic Development Bank
Albania,Europe,Upper middle income,Israel
Albania,Europe,Upper middle income,Italy
Albania,Europe,Upper middle income,Japan
Albania,Europe,Upper middle income,Kuwait
Albania,Europe,Upper middle income,Luxembourg
Albania,Europe,Upper middle income,Netherlands
Albania,Europe,Upper middle income,Norway
Albania,Europe,Upper middle income,OPEC Fund for International Development
Albania,Europe,Upper middle income,Poland
Albania,Europe,Upper middle income,South Korea
Albania,Europe,Upper middle income,Spain
Albania,Europe,Upper middle income,Sweden
Albania,Europe,Upper middle income,Switzerland
Albania,Europe,Upper middle income,Türkiye
Albania,Europe,Upper middle income,UN Development Programme
Albania,Europe,Upper middle income,UN High Commissioner for Refugees
Albania,Europe,Upper middle income,UN Population Fund
Albania,Europe,Upper middle income,UNICEF
Albania,Europe,Upper middle income,United Arab Emirates
Albania,Europe,Upper middle income,United Kingdom
